Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (G),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-0.001,-0.25,-0.777,0.25,0.777,0,0,0,0,0,0,28.61,-80.6,0.999,92.188,0,0,0,654.704,86.985,2.149,0.024,NaN,27.546,NaN,0.006,1.542e5,1.424,-1.278e-6,0.84,-1.149e-4,0.446,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.945e-7,3,7.069,90,0,6.541,59,1013.25,1116.761,0.01,0.007
0.02,-5.358e-4,-0.107,-0.333,0.107,0.333,0,0,0,0,0,0,28.61,-80.6,0.999,90.944,0,0,0,654.689,86.97,2.149,0.024,NaN,27.546,NaN,0.006,1.532e5,4.272,-1.028e-7,0.84,-9.364e-6,0.446,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.265e-7,3,7.069,90,0,6.503,59,1013.25,1116.761,0.01,0.009
0.03,3.506e-4,0.07,0.218,0.07,0.218,0,0,0,0,0,0,28.61,-80.6,0.999,89.378,0,0,0,654.639,86.919,2.148,0.024,NaN,27.545,NaN,0.006,1.522e5,7.81,2.909e-8,0.841,2.683e-6,0.447,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.791e-7,3,7.069,90,0,6.464,59,1013.25,1116.761,0.01,0.01
0.04,0.003,0.418,1.08,0.418,1.08,0,0,0,0,0,0,28.61,-80.6,0.999,86.28,0,0,0,654.573,86.854,2.148,0.024,NaN,27.543,NaN,0.006,1.516e5,13.345,5.99e-6,0.842,5.568e-4,0.448,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.662e-6,3,7.069,90,0,6.425,59,1013.25,1116.761,0.01,0.011
0.05,0.01,1.049,1.963,1.049,1.963,0,0,0,0,0,0,28.61,-80.6,0.999,80.671,0,0,0,654.508,86.789,2.148,0.024,NaN,27.542,NaN,0.006,1.524e5,19.007,8.97e-5,0.841,0.008,0.447,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.175e-6,3,7.069,90,0,6.386,59,1013.25,1116.761,0.01,0.011
0.06,0.025,1.974,2.876,1.974,2.876,0,0,0,0,0,0,28.61,-80.6,0.999,72.866,0,0,0,654.354,86.635,2.147,0.024,NaN,27.538,NaN,0.006,1.578e5,24.866,5.406e-4,0.837,0.046,0.443,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.857e-6,3,7.069,90,0,6.404,59,1013.249,1116.761,0.01,0.012
0.07,0.051,3.204,3.821,3.204,3.821,0,0,0,0,0,0,28.61,-80.6,0.999,63.489,0,0,0,654.201,86.481,2.147,0.024,NaN,27.534,NaN,0.006,1.69e5,30.922,0.002,0.83,0.15,0.436,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.275e-5,3,7.069,90,0,6.423,59,1013.248,1116.761,0.01,0.014
# Event LIFTOFF occurred at t=0.08 seconds
