Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (m),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers,Mach number,Reynolds number ,Thrust (N),Drag force (N),Drag coefficient,Axial drag coefficient,Friction drag coefficient,Pressure drag coefficient,Base drag coefficient,Normal force coefficient,Pitch moment coefficient,Yaw moment coefficient,Side force coefficient,Roll moment coefficient,Roll forcing coefficient,Roll damping coefficient,Pitch damping coefficient,Coriolis acceleration (G),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-8.536e-4,-0.171,-0.531,0.171,0.531,0,0,0,0,0,0,28.61,-80.6,0.999,91.718,0,0,0,732.765,249.879,2.402,0.022,NaN,30.711,NaN,0.005,1.337e5,3.363,-4.784e-7,0.856,-5.695e-5,0.462,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.794e-7,3,7.069,90,0,5.693,60,1013.25,1117.866,0.01,9.858e-4
0.02,6.521e-4,0.13,0.406,0.13,0.406,0,0,0,0,0,0,28.61,-80.6,0.999,88.693,0,0,0,732.644,249.758,2.402,0.022,NaN,30.709,NaN,0.005,1.342e5,10.088,2.132e-7,0.855,2.517e-5,0.461,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.191e-7,3,7.069,90,0,5.718,60,1013.25,1117.866,0.01,0.001
0.03,0.004,0.562,1.342,0.562,1.342,0,0,0,0,0,0,28.61,-80.6,0.999,84.409,0,0,0,732.523,249.638,2.402,0.022,NaN,30.707,NaN,0.005,1.354e5,16.813,1.622e-5,0.854,0.002,0.46,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.237e-6,3,7.069,90,0,5.743,60,1013.25,1117.866,0.01,0.002
0.04,0.013,1.295,2.279,1.295,2.279,0,0,0,0,0,0,28.61,-80.6,0.999,77.343,0,0,0,732.403,249.517,2.402,0.022,NaN,30.705,NaN,0.005,1.387e5,23.538,1.817e-4,0.851,0.02,0.457,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.154e-6,3,7.069,90,0,5.768,60,1013.25,1117.866,0.01,0.002
0.05,0.032,2.33,3.216,2.33,3.216,0,0,0,0,0,0,28.61,-80.6,0.999,68.091,0,0,0,732.282,249.396,2.401,0.022,NaN,30.703,NaN,0.006,1.465e5,30.263,9.297e-4,0.845,0.092,0.451,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.271e-6,3,7.069,90,0,5.792,60,1013.249,1117.866,0.01,0.002
0.06,0.062,3.666,4.153,3.666,4.153,0,0,0,0,0,0,28.61,-80.6,0.999,58.003,0,0,0,732.161,249.275,2.401,0.022,NaN,30.701,NaN,0.006,1.624e5,36.989,0.003,0.834,0.245,0.44,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.459e-5,3,7.069,90,0,5.867,60,1013.248,1117.866,0.01,0.003
# Event LIFTOFF occurred at t=0.07 seconds
0.07,0.106,5.303,5.09,5.303,5.09,0,0,0,0,0,0,28.61,-80.6,0.999,48.248,0,0,0,732.04,249.155,2.401,0.022,NaN,30.699,NaN,0.007,1.869e5,43.714,0.007,0.82,0.455,0.426,0.274,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.11e-5,3,7.069,90,0,5.941,60,1013.246,1117.866,0.01,0.003
