Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (G),Total velocity (ft/s),Total acceleration (G),Position East of launch (ft),Position North of launch (ft),Lateral distance (m),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (G),Latitude (°),Longitude (°),Gravitational acceleration (G),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers,Mach number,Reynolds number ,Thrust (N),Drag force (N),Drag coefficient,Axial drag coefficient,Friction drag coefficient,Pressure drag coefficient,Base drag coefficient,Normal force coefficient,Pitch moment coefficient,Yaw moment coefficient,Side force coefficient,Roll moment coefficient,Roll forcing coefficient,Roll damping coefficient,Pitch damping coefficient,Coriolis acceleration (G),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s),Air_density(kg/m^3),cross sectional area(m)
0.01,-0.00026017728,-0.05212080000000001,-0.531,0.171,0.531,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,91.718,0.0,0.0,0.0,732.765,249.879,2.402,0.022,,30.711,,0.005,133700.0,3.363,-4.784e-07,0.856,-5.695e-05,0.462,0.274,0.12,,,,,,,,,6.794e-07,3.0,7.069,90.0,0.0,5.693,60.0,1013.25,1117.866,0.01,0.0009858,1.22264,0.19558
0.02,0.00019876008,0.039624000000000006,0.406,0.13,0.406,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,88.693,0.0,0.0,0.0,732.644,249.758,2.402,0.022,,30.709,,0.005,134200.0,10.088,2.132e-07,0.855,2.517e-05,0.461,0.274,0.12,,,,,,,,,5.191e-07,3.0,7.069,90.0,0.0,5.718,60.0,1013.25,1117.866,0.01,0.001,1.22264,0.19558
0.03,0.0012192000000000001,0.17129760000000002,1.342,0.562,1.342,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,84.409,0.0,0.0,0.0,732.523,249.638,2.402,0.022,,30.707,,0.005,135400.0,16.813,1.622e-05,0.854,0.002,0.46,0.274,0.12,,,,,,,,,2.237e-06,3.0,7.069,90.0,0.0,5.743,60.0,1013.25,1117.866,0.01,0.002,1.22264,0.19558
0.04,0.0039624,0.394716,2.279,1.295,2.279,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,77.343,0.0,0.0,0.0,732.403,249.517,2.402,0.022,,30.705,,0.005,138700.0,23.538,0.0001817,0.851,0.02,0.457,0.274,0.12,,,,,,,,,5.154e-06,3.0,7.069,90.0,0.0,5.768,60.0,1013.25,1117.866,0.01,0.002,1.22264,0.19558
0.05,0.009753600000000001,0.710184,3.216,2.33,3.216,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,68.091,0.0,0.0,0.0,732.282,249.396,2.401,0.022,,30.703,,0.006,146500.0,30.263,0.0009297,0.845,0.092,0.451,0.274,0.12,,,,,,,,,9.271e-06,3.0,7.069,90.0,0.0,5.792,60.0,1013.249,1117.866,0.01,0.002,1.22264,0.19558
0.06,0.0188976,1.1173968,4.153,3.666,4.153,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,58.003,0.0,0.0,0.0,732.161,249.275,2.401,0.022,,30.701,,0.006,162400.0,36.989,0.003,0.834,0.245,0.44,0.274,0.12,,,,,,,,,1.459e-05,3.0,7.069,90.0,0.0,5.867,60.0,1013.248,1117.866,0.01,0.003,1.22264,0.19558
0.07,0.0323088,1.6163544,5.09,5.303,5.09,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,48.248,0.0,0.0,0.0,732.04,249.155,2.401,0.022,,30.699,,0.007,186900.0,43.714,0.007,0.82,0.455,0.426,0.274,0.12,,,,,,,,,2.11e-05,3.0,7.069,90.0,0.0,5.941,60.0,1013.246,1117.866,0.01,0.003,1.22264,0.19558
0.08,0.05151120000000001,2.2058376,6.011,7.237,6.011,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,39.736,0.0,0.0,0.0,731.81,248.924,2.4,0.022,,30.696,,0.008,220900.0,50.319,0.015,0.803,0.659,0.409,0.274,0.12,,,,,,,,,2.88e-05,3.0,7.069,90.0,0.0,6.016,59.999,1013.244,1117.865,0.01,0.003,1.22264,0.19558
0.09,0.0768096,2.8757880000000005,6.833,9.435,6.833,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,32.842,0.0,0.0,0.0,731.47,248.585,2.4,0.022,,30.69,,0.01,263600.0,56.204,0.026,0.787,0.811,0.393,0.274,0.12,,,,,,,,,3.755e-05,3.0,7.069,90.0,0.0,6.09,59.999,1013.241,1117.865,0.01,0.003,1.22264,0.19558
0.1,0.1094232,3.6246816,7.639,11.892,7.639,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,27.401,0.0,0.0,0.0,731.131,248.245,2.399,0.022,,30.685,,0.012,314400.0,61.97,0.042,0.771,0.903,0.377,0.274,0.12,,,,,,,,,4.732e-05,3.0,7.069,90.0,0.0,6.165,59.999,1013.237,1117.865,0.01,0.004,1.22264,0.19558
0.11,0.1499616,4.4528232,8.444,14.609,8.444,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,22.961,0.0,0.0,0.0,730.791,247.906,2.398,0.022,,30.68,,0.014,372400.0,67.735,0.062,0.757,0.95,0.363,0.274,0.12,,,,,,,,,5.814e-05,3.0,7.069,90.0,0.0,6.189,59.998,1013.232,1117.864,0.01,0.004,1.22264,0.19558
0.12,0.19903440000000003,5.359908000000001,9.25,17.585,9.25,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,19.462,0.0,0.0,0.0,730.452,247.566,2.398,0.022,,30.674,,0.017,437700.0,73.501,0.087,0.745,0.962,0.351,0.274,0.12,,,,,,,,,6.998e-05,3.0,7.069,90.0,0.0,6.214,59.998,1013.227,1117.863,0.01,0.004,1.22264,0.19558
0.13,0.257556,6.345936,10.056,20.82,10.056,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,16.681,0.0,0.0,0.0,730.112,247.226,2.397,0.022,,30.669,,0.019,510100.0,79.266,0.117,0.734,0.953,0.34,0.274,0.12,,,,,,,,,8.285e-05,3.0,7.069,90.0,0.0,6.239,59.997,1013.22,1117.863,0.01,0.004,1.22264,0.19558
0.14,0.32613600000000004,7.411212000000001,10.862,24.315,10.862,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,14.445,0.0,0.0,0.0,729.772,246.887,2.396,0.022,,30.664,,0.022,589300.0,85.032,0.151,0.723,0.927,0.329,0.274,0.12,,,,,,,,,9.676e-05,3.0,7.069,90.0,0.0,6.264,59.996,1013.212,1117.862,0.01,0.004,1.22264,0.19558
0.15,0.40599360000000007,8.5545168,11.659,28.066,11.659,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,12.629,0.0,0.0,0.0,729.358,246.472,2.395,0.022,,30.657,,0.026,675000.0,90.724,0.191,0.714,0.893,0.32,0.274,0.12,,,,,,,,,0.0001117,3.0,7.069,90.0,0.0,6.288,59.995,1013.202,1117.861,0.01,0.005,1.22264,0.19558
0.16,0.4977384,9.766401600000002,12.362,32.042,12.362,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,11.163,0.0,0.0,0.0,728.831,245.945,2.394,0.022,,30.649,,0.029,766500.0,95.732,0.238,0.706,0.86,0.312,0.274,0.12,,,,,,,,,0.0001275,3.0,7.069,90.0,0.0,6.323,59.994,1013.192,1117.86,0.01,0.005,1.22264,0.19558
0.17,0.6016752000000001,11.045342400000001,13.042,36.238,13.042,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,9.951,0.0,0.0,0.0,728.304,245.418,2.393,0.022,,30.64,,0.033,863500.0,100.573,0.291,0.699,0.83,0.305,0.274,0.12,,,,,,,,,0.0001442,3.0,7.069,90.0,0.0,6.358,59.993,1013.18,1117.858,0.01,0.005,1.22264,0.19558
0.179,0.707136,12.2611896,13.69,40.227,13.69,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,9.025,0.0,0.0,0.0,727.827,244.941,2.392,0.022,,30.633,,0.036,955900.0,105.186,0.348,0.696,0.81,0.302,0.274,0.12,,,,,,,,,0.0001601,3.0,7.069,90.0,0.0,6.389,59.992,1013.167,1117.857,0.009,0.006,1.22264,0.19558
0.187,0.8119872000000001,13.4032752,14.274,43.974,14.274,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,8.304,0.0,0.0,0.0,727.397,244.512,2.391,0.022,,30.626,,0.04,1043000.0,109.352,0.407,0.696,0.797,0.302,0.274,0.12,,,,,,,,,0.000175,3.0,7.069,90.0,0.0,6.418,59.99,1013.155,1117.855,0.008,0.006,1.22264,0.19558
0.195,0.915924,14.486839200000002,14.804,47.529,14.804,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,7.721,0.0,0.0,0.0,727.004,244.119,2.39,0.022,,30.619,,0.043,1126000.0,113.132,0.468,0.696,0.786,0.302,0.274,0.12,,,,,,,,,0.0001891,3.0,7.069,90.0,0.0,6.444,59.989,1013.143,1117.854,0.007,0.006,1.22264,0.19558
0.202,1.0195560000000001,15.522244800000001,15.291,50.926,15.291,0.0,0.0,0.0,0.0,0.0,0.0,28.61,-80.6,0.999,7.238,0.0,0.0,0.0,726.641,243.755,2.39,0.022,,30.614,,0.046,1205000.0,116.61,0.53,0.696,0.777,0.302,0.274,0.12,,,,,,,,,0.0002027,3.0,7.069,90.0,0.0,6.468,59.988,1013.131,1117.853,0.007,0.006,1.22264,0.19558
0.212,1.1884152000000001,17.1321984,15.876,56.208,15.876,-0.0002476,0.0,7.546848000000001e-05,-180.0,0.048,0.151,28.61,-80.6,0.999,6.551,0.0,0.0004042,2.168e-07,726.095,243.209,2.388,0.022,31.619,30.605,0.338,0.051,1328000.0,120.787,0.634,0.696,0.765,0.301,0.274,0.12,1.295,0.437,-0.0001682,0.0,0.0,0.0,0.0,9.363e-06,0.0002237,3.0,7.069,89.999,-0.034,6.505,59.986,1013.111,1117.851,0.01,0.006,1.22264,0.19558
0.227,1.4743176,19.679107199999997,16.748,64.564,16.749,-0.002,0.0,0.0006096000000000001,-180.0,0.128,0.167,28.61,-80.6,0.999,5.684,0.0,0.001,4.773e-07,725.201,242.315,2.387,0.022,31.81,30.59,0.407,0.058,1523000.0,127.027,0.819,0.696,0.751,0.301,0.274,0.12,1.095,0.445,-0.0002314,0.0,0.0,0.0,0.0,6.253e-05,0.000257,3.0,7.069,89.995,-0.018,6.561,59.983,1013.077,1117.847,0.016,0.007,1.22264,0.19558
0.251,1.9805904,23.7768384,17.972,78.009,17.973,-0.006,-1.696e-08,0.0018288000000000002,-180.0,0.261,0.187,28.61,-80.6,0.999,4.653,0.0,0.003,7.398e-07,723.578,240.692,2.383,0.022,32.053,30.564,0.496,0.07,1837000.0,135.782,1.167,0.697,0.735,0.301,0.274,0.121,0.868,0.43,-0.0002098,0.0,0.0,0.0,0.0,0.0002412,0.0003106,3.0,7.069,89.978,-0.009,6.642,59.977,1013.018,1117.84,0.023,0.007,1.22264,0.19558
0.286,2.929128,30.53334,19.758,100.176,19.759,-0.019,-1.102e-07,0.0057912,-180.0,0.481,0.2,28.61,-80.6,0.999,3.448,0.0,0.006,8.389e-07,721.143,238.258,2.378,0.022,32.359,30.525,0.611,0.09,2357000.0,148.666,1.879,0.697,0.719,0.301,0.275,0.121,0.619,0.377,-0.0003445,0.0,0.0,0.0,0.0,0.0007406,0.0003989,3.0,7.069,89.922,-0.003,6.659,59.965,1012.907,1117.828,0.035,0.007,1.22264,0.19558
0.336,4.7265336,41.3924496,22.164,135.804,22.165,-0.051,-5.225e-07,0.0155448,-179.999,0.789,0.174,28.61,-80.6,0.999,2.358,7.216e-09,0.014,1.321e-07,717.133,234.247,2.369,0.022,32.661,30.459,0.734,0.122,3192000.0,166.289,3.4,0.699,0.71,0.301,0.276,0.122,0.409,0.298,-0.000287,0.0,0.0,0.0,0.0,0.002,0.0005408,3.0,7.069,89.745,-0.002,6.997,59.944,1012.696,1117.804,0.05,0.007,1.22264,0.19558
0.386,7.098487200000001,53.468930400000005,24.544,175.425,24.544,-0.095,-1.183e-06,0.028956000000000003,-179.999,0.949,0.002,28.61,-80.6,0.999,1.359,-1.705e-08,0.023,4.917e-06,712.783,229.897,2.36,0.021,32.961,30.387,0.858,0.157,4118000.0,184.15,5.617,0.701,0.704,0.301,0.277,0.123,0.228,0.193,-0.000135,0.0,0.0,0.0,0.0,0.003,0.0006981,3.0,7.069,89.415,-0.003,6.911,59.916,1012.419,1117.774,0.05,0.007,1.22264,0.19558
0.436,10.100157600000001,66.577464,26.596,218.431,26.598,-0.138,-3.713e-06,0.04206240000000001,-179.998,0.652,0.371,28.61,-80.6,0.999,0.505,-1.025e-08,0.031,-2.891e-05,707.995,225.11,2.349,0.021,33.238,30.307,0.977,0.196,5125000.0,200.3,8.697,0.703,0.704,0.3,0.278,0.125,0.082,0.077,-0.0002071,0.0,0.0,0.0,0.0,0.004,0.0008693,3.0,7.069,88.922,0.003,6.668,59.881,1012.068,1117.734,0.05,0.008,1.22264,0.19558
0.486,13.778484,80.52602639999999,28.246,264.193,28.259,-0.147,-2.232e-06,0.0448056,-179.999,0.393,0.887,28.61,-80.6,0.999,0.102,2.602e-08,-0.033,-0.0001012,702.826,219.94,2.337,0.021,33.382,30.219,1.054,0.236,6197000.0,214.428,12.775,0.707,0.707,0.3,0.28,0.127,0.016,0.02,-0.0004884,0.0,0.0,0.0,0.0,-0.003,0.001,3.0,7.069,88.333,0.012,6.76,59.838,1011.637,1117.687,0.05,0.01,1.22264,0.19558
0.536,18.168823200000002,95.0406024,29.325,311.822,29.361,-0.082,3.142e-05,0.0249936,179.978,2.345,1.449,28.61,-80.6,0.999,0.491,-1.643e-07,-0.026,4.375e-05,697.483,214.597,2.325,0.021,33.267,30.127,1.047,0.279,7312000.0,225.557,17.916,0.711,0.712,0.299,0.282,0.13,0.08,0.085,-0.0004303,0.0,0.0,0.0,0.0,-0.001,0.001,3.0,7.069,87.795,0.03,6.881,59.786,1011.123,1117.629,0.05,0.01,1.22264,0.19558
0.576,22.251924,107.04088320000001,29.994,351.213,30.048,0.055,0.0001219,0.016764,0.126,4.531,1.792,28.61,-80.6,0.999,0.601,1.475e-07,-0.011,-6.398e-05,692.946,210.06,2.315,0.021,33.244,30.048,1.065,0.314,8233000.0,233.803,22.863,0.716,0.717,0.299,0.284,0.133,0.099,0.105,0.0004601,0.0,0.0,0.0,0.0,-0.0001883,0.001,3.0,7.069,87.529,0.04,6.877,59.738,1010.645,1117.576,0.04,0.011,1.22264,0.19558
0.602,25.167031200000004,114.92423040000001,30.386,377.098,30.443,0.195,0.0002323,0.059436,0.068,6.109,1.862,28.61,-80.6,0.999,0.544,0.0,0.0008356,1.808e-05,689.96,207.075,2.308,0.021,33.272,29.995,1.092,0.338,8838000.0,239.163,26.46,0.719,0.72,0.298,0.286,0.135,0.089,0.097,5.901e-05,0.0,0.0,0.0,0.0,9.002e-07,0.002,3.0,7.069,87.483,0.036,6.881,59.703,1010.304,1117.538,0.026,0.011,1.22264,0.19558
0.627,28.1113992,122.39457360000002,30.498,401.628,30.546,0.365,0.0003697,0.111252,0.058,7.556,1.717,28.61,-80.6,0.999,0.361,5.319e-08,0.011,-8.263e-05,687.053,204.167,2.301,0.021,33.341,29.943,1.133,0.36,9411000.0,242.641,30.128,0.722,0.722,0.298,0.288,0.137,0.059,0.066,0.0001593,0.0,0.0,0.0,0.0,0.0001331,0.002,3.0,7.069,87.538,0.029,7.191,59.669,1009.959,1117.5,0.025,0.011,1.22264,0.19558
0.659,32.178955200000004,132.0323496,30.459,433.274,30.489,0.633,0.0005756,0.1929384,0.052,9.155,1.374,28.61,-80.6,0.999,0.1,3.412e-08,0.018,-0.0002466,683.306,200.42,2.292,0.021,33.44,29.876,1.188,0.388,10150000.0,246.244,35.252,0.726,0.726,0.297,0.29,0.14,0.016,0.018,0.0004145,0.0,0.0,0.0,0.0,0.0003109,0.002,3.0,7.069,87.713,0.009,7.443,59.621,1009.483,1117.447,0.032,0.012,1.22264,0.19558
0.707,38.8555992,146.34697680000002,29.935,480.263,29.948,1.115,0.0008303,0.339852,0.043,10.835,0.874,28.61,-80.6,0.999,0.144,5.968e-08,-0.014,-9.687e-05,677.591,194.705,2.278,0.021,33.447,29.771,1.225,0.43,11240000.0,249.337,43.706,0.733,0.734,0.296,0.293,0.144,0.023,0.029,0.0002598,0.0,0.0,0.0,0.0,-0.0001572,0.002,3.0,7.069,88.018,-0.041,7.275,59.542,1008.701,1117.36,0.048,0.012,1.22264,0.19558
0.749,45.235368,158.467044,29.036,520.038,29.044,1.589,0.0008798,0.4843272,0.032,11.749,0.67,28.61,-80.6,0.999,0.188,-1.021e-07,-0.000649,4.015e-06,672.587,189.702,2.266,0.021,33.452,29.678,1.258,0.466,12170000.0,249.813,51.67,0.74,0.74,0.295,0.297,0.148,0.031,0.039,-0.0003732,0.0,0.0,0.0,0.0,-2.856e-07,0.002,3.0,7.069,88.128,-0.04,7.159,59.467,1007.955,1117.277,0.042,0.012,1.22264,0.19558
